100644 blob ef7e93fc61a91deecaa551c4707e4c3049af42c9-100644 blob ef7e93fc61a91deecaa551c4707e4c3049af42c9-  title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 1975
Willow, Ron Howard, 1988
